course_id,course,city,state,street,zip_code,lng,lat,hole,public_private
7989,New Ulm Country Club,New Ulm,Minnesota,1 Golf Dr,56073,-94.4587665,44.289183,18,Semi-Private
7990,"Woods/Marsh at Pines at Grand View Lodge, The",Nisswa,Minnesota,134 S Nokomis Ave,56468,-94.3136016,46.495504,18,Resort
7991,"Marsh/Lakes at Pines at Grand View Lodge, The",Nisswa,Minnesota,134 S Nokomis Ave,56468,-94.3136016,46.495504,18,Resort
7992,"Preserve at Pines at Grand View Lodge, The",Nisswa,Minnesota,134 S Nokomis Ave,56468,-94.3136016,46.495504,18,Resort
7993,"The Garden at Pines at Grand View Lodge, The",Nisswa,Minnesota,134 S Nokomis Ave,56468,-94.3136016,46.495504,9,Resort
7994,"Deacon's Lodge at Pines at Grand View Lodge, The",Nisswa,Minnesota,134 S Nokomis Ave,56468,-94.3136016,46.495504,18,Resort
7995,Birch Bay Resort & Golf Course,Nisswa,Minnesota,1771 Birch Dr W,56468,-94.368209,46.4515627,9,Public
7996,Fritiz's Resort & Golf Course,Nisswa,Minnesota,942 Hwy 371 No,56468,-94.2983079,46.4847376,9,Resort
7997,"Lakes/Woods at Pines at Grand View Lodge, The",Nisswa,Minnesota,134 S Nokomis Ave,56468,-94.3136016,46.495504,18,Resort
7998,North Branch Golf Course,North Branch,Minnesota,1256 County Rd 30,55056,-93.0178507,45.5080663,9,Public
8000,Willinger's Golf Club,Northfield,Minnesota,6900 Canby Trl,55057,-93.3143769,44.49263,18,Public
8001,North Links Golf Course,North Mankato,Minnesota,RFD 2,56003,-94.033845,44.1732996,18,Public
8002,North Oaks Golf Club,North Oaks,Minnesota,54 E Oaks Rd,55127,-93.0946086,45.08448019999999,18,Private
8003,Oak Marsh Golf Course,Oakdale,Minnesota,526 Inwood Ave No,55128,-92.9371249,44.9552574,18,Public
8004,Oakdale Par d,Oakdale,Minnesota,5585 Golfview Ave No,55128,-92.97951499999999,45.028783,9,Public
8005,Olivia Golf Club,Olivia,Minnesota,512 S 6th St,56277,-94.9843021,44.77276759999999,9,Semi-Private
8006,Black Brook at Izatys Golf & Yacht Club,Onamia,Minnesota,40005 85th Ave,56359,-93.5875291,46.1262046,18,Resort
8007,Sanctuary at Izatys Golf & Yacht Club,Onamia,Minnesota,40005 85th Ave,56359,-93.5875291,46.1262046,18,Resort
