course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
3981,Par d at Nickol Knoll Golf Club,Arlington Heights,Illinois,3800 N Kennicott Ave,60004,-87.99748869999999,42.1434562,9,Public,27,1163,,,27,1013,,,27,865,,
3982,Arlington Lakes Golf Club,Arlington Heights,Illinois,1211 S New Wilkes Rd,60005,-88.0024796,42.0625188,18,Public,68,5331,115,65.80,68,4976,110,64.10,68,4648,113,66.70
3983,Rolling Green Country Club,Arlington Heights,Illinois,750 N Rand Rd,60004,-88.0059449,42.13039029999999,18,Private,,,,,72,6401,129,71.70,72,5545,128,73.10
4159,Fox Run Golf Links,Elk Grove Village,Illinois,333 Plum Grove Rd,60007,-88.05995879999999,42.0141756,18,Public,70,6287,117,70.20,70,5925,113,68.60,70,5288,114,69.90
7675,Albert Lea Golf Club,Albert Lea,Minnesota,1701 Country Club Rd,56007,-93.390658,43.6705862,18,Semi-Private,,,,,71,5900,,,72,5600,,
7676,Green Lea Golf Course,Albert Lea,Minnesota,101 E Richway Dr,56007,-93.3681987,43.66433259999999,18,Public,72,6166,122,70.20,72,5970,120,69.30,72,5404,126,71.40
7936,Par d Executive at Terrace View Golf Course,Mankato,Minnesota,Hwy 22 S,56001,-93.94919999999999,44.1635237,9,Public,,,,,27,1386,66,26.00,27,1116,65,25.90
7937,Mankato Golf Club,Mankato,Minnesota,Golf Club Rd,56002,-93.9776687,44.1920623,18,Private,71,6215,130,70.20,71,5990,128,69.20,71,5009,126,68.90
7938,Minneopa Golf Club,Mankato,Minnesota,Route 9 S 169 & 160,56001,-93.9674371,44.1223003,9,Public,,,,,33,2485,104,34.10,35,2422,110,33.70
7939,Regulation at Terrace View Golf Course,Mankato,Minnesota,Hwy 22 S,56001,-93.94919999999999,44.1635237,9,Public,36,3304,118,35.50,36,3093,114,34.50,36,2464,110,34.00
8001,North Links Golf Course,North Mankato,Minnesota,RFD 2,56003,-94.033845,44.1732996,18,Public,72,6073,117,69.10,72,5624,113,67.00,72,4659,114,67.00
855,San Luis Rey Downs Golf & Country Club,Bonsall,California,31474 Golf Club Dr,92003,-117.2138012,33.2869935,18,Resort,72,6750,128,72.60,72,6365,122,70.50,72,5493,124,72.10
