course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
8024,"Preserve, The",Pequot Lakes,Minnesota,H C 2 40613,56472,-94.3094399,46.6030198,18,Public,Open: 5/01 Closed: 10/15,5,10,72,6601,135,71.60,72,6204,132,69.90,72,4816,119,68.80
8025,Whitefish Golf Club,Pequot Lakes,Minnesota,Route 1 County Rd 16,56472,-94.30940249999999,46.6313326,18,Public,Open: 4/15 Closed: 10/30,4,10,72,6407,128,70.70,72,6172,125,69.70,72,5680,127,73.00
8026,Perham Lakeside Country Club,Perham,Minnesota,County Rd 51,56573,-95.5740345,46.6654771,18,Public,Open: 4/15 Closed: 11/01,4,10,72,6575,128,72.50,72,6321,126,71.30,72,5388,122,71.10
8027,Pierz Municipal Golf Course,Pierz,Minnesota,603 Park Ave,56364,-94.0898682,45.9756605,9,Public,Open: 4/01 Closed: 10/01,4,9,35,3058,110,34.60,35,2974,109,34.20,38,2822,116,36.50
8028,Pine City Country Club,Pine City,Minnesota,Route 4,55063,-92.9560137,45.8453661,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3240,121,35.50,36,3180,120,35.10,38,2945,124,37.00
8029,Pine Island Golf Course,Pine Island,Minnesota,2000 8th St SE,55963,-92.61801899999999,44.1956429,9,Public,Open: 4/01 Closed: 10/31,4,10,36,3365,128,36.10,36,3090,123,34.80,36,2482,114,34.40
8031,Irish Hills Golf Course,Pine River,Minnesota,Route 1,56474,-94.3940971,46.7191199,18,Public,Open: 4/15 Closed: 11/01,4,10,72,6011,115,67.80,72,5728,113,66.90,72,4446,112,67.50
8032,Pine River Country Club,Pine River,Minnesota,County Rd 2,56474,-94.4122948,46.7191731,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3455,119,35.90,36,3158,113,34.50,36,2622,112,34.40
8033,Pipestone Country Club,Pipestone,Minnesota,8th Ave SE,56164,-96.307474,43.986448,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3247,114,35.30,36,3041,110,34.30,37,2615,111,34.80
8035,Elm Creek Golf Links of Plymouth,Plymouth,Minnesota,18940 Hwy 55,55446,-93.5210868,45.0417555,18,Public,Open: 4/01 Closed: 11/01,4,10,70,6235,132,70.40,70,5773,128,68.80,71,4874,117,68.00
8037,Hollydale Golf Club,Plymouth,Minnesota,4710 Holly Ln No,55446,-93.496635,45.0400332,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6160,121,70.10,71,5980,119,69.40,73,5128,120,69.90
8039,Princeton Golf Club,Princeton,Minnesota,Golf Course Rd,55372,-93.5777319,45.5635021,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,71,6365,126,70.80,71,6150,124,70.00,71,4901,115,68.90
8040,"Wilds Golf Club, The",Prior Lake,Minnesota,3151 Wilds Ridge,55372,-93.4571682,44.7373875,18,Public,Open: 4/01 Closed: 11/01,4,10,72,7025,140,74.70,72,6538,131,72.00,72,5095,126,70.20
8042,Scottdale Golf Club,Prior Lake,Minnesota,19400 Natchez Rd,55372,-93.3396071,44.6691553,9,Public,Open: 4/01 Closed: 11/01,4,10,37,3330,123,36.20,36,3147,119,35.40,36,2537,121,34.60
8045,Links at Northfork,Ramsey,Minnesota,9333 153rd St NW,55303,-93.43325139999999,45.247893,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6989,127,73.70,72,6344,121,71.00,72,5241,117,70.50
8046,Rum River Hills Golf Club,Ramsey,Minnesota,16659 Saint Francis Blvd,55303,-93.41577099999999,45.273155,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6308,117,71.00,71,6091,115,70.00,71,5024,120,69.60
8047,Hawk Creek Country Club,Raymond,Minnesota,100 Spicer Ave NE,56282,-95.23833789999999,45.0173506,9,Public,Open: 4/15 Closed: 10/31,4,10,36,3227,120,35.20,36,3121,118,34.70,36,2475,112,34.00
